iter	Passed	Remaining
423	3008	539
424	3015	532
425	3023	525
426	3031	518
427	3038	511
428	3046	504
429	3054	497
430	3061	490
431	3069	483
432	3076	476
433	3084	469
434	3091	461
435	3098	454
436	3106	447
437	3113	440
438	3120	433
439	3127	426
440	3134	419
441	3142	412
442	3149	405
443	3156	398
444	3163	391
445	3170	383
446	3177	376
447	3185	369
448	3192	362
449	3199	355
450	3206	348
451	3214	341
452	3221	334
453	3228	327
454	3235	320
455	3242	312
456	3249	305
457	3257	298
458	3264	291
459	3271	284
460	3279	277
461	3286	270
462	3293	263
463	3300	256
464	3307	248
465	3314	241
466	3321	234
467	3329	227
468	3336	220
469	3343	213
470	3351	206
471	3358	199
472	3366	192
473	3373	185
474	3380	177
475	3387	170
476	3395	163
477	3402	156
478	3409	149
479	3416	142
480	3424	135
481	3431	128
482	3438	121
483	3446	113
484	3453	106
485	3460	99
486	3467	92
487	3474	85
488	3481	78
489	3484	71
490	3491	63
491	3498	56
492	3505	49
493	3512	42
494	3519	35
495	3527	28
496	3534	21
497	3541	14
498	3548	7
499	3555	0
